scrap_date,asin,price,france_shipment_price,rating,ratings_count
19/11/30,B0742RMVQ8,nan,nan,3.8,125
19/11/30,B00L2EWRW2,nan,nan,3.7,46
19/11/30,B00PASUGTC,$349.00,nan,4.4,28
19/11/30,B008JJLZ7G,$59.49,$23.20,4.4,4757
19/11/30,B073JHHNJ9,$54.95,$22.07,3.9,2171
19/11/30,B00KGGK1J8,nan,nan,3.8,172
19/11/30,B00IAKLM54,$225.00,$66.77,3.6,820
19/11/30,B005MJHFHK,$28.98,$147.85,nan,nan
19/11/30,B00VXW0J5A,nan,nan,nan,nan
19/11/30,B00OY50CZU,$29.81,nan,nan,nan
19/11/30,B0168YIWSI,$135.94,$36.84,4.3,354
19/11/30,B018K251JE,$89.99,$87.85,3.9,154
19/11/30,B00VILQKQ8,$79.99,$75.83,3.9,125
19/11/30,B00C78VIUE,nan,nan,3.8,68
19/11/30,B075WKS4D8,$159.99,$50.83,3.8,491
19/11/30,B000YA33DC,$91.00,$47.75,4.5,971
19/11/30,B00505EZYW,$39.99,$15.39,4.7,974
19/11/30,B00WBS31OQ,nan,nan,3.9,68
19/11/30,B0172DS3ME,nan,nan,4.6,3
19/11/30,B00NTJKAXG,$184.95,nan,3.7,199
19/11/30,B00R5WGT2E,$79.95,$36.57,3.9,54
19/11/30,B00V631478,$77.00,$34.74,3.8,20
19/11/30,B009AEMB6I,$21.95,$12.22,4.2,281
19/11/30,B06XSGYCHC,$29.99,$16.38,4.1,156
19/11/30,B012ASF1WQ,nan,nan,3.7,46
19/11/30,B01LYGPB3J,nan,nan,3.4,74
19/11/30,B011QHAOWO,nan,nan,3.8,322
19/11/30,B01J0BFAAO,nan,nan,4.2,29
19/11/30,B019Q88VAM,$198.00,$56.49,3.7,70
19/11/30,B004OVE61U,$28.00,$17.64,4.3,2774
19/11/30,B007QOIP3M,$20.94,nan,4.1,48
19/11/30,B01ETTL6LE,nan,nan,4.0,31
19/11/30,B009E6J1BU,nan,nan,3.8,606
19/11/30,B00B7C07LC,$78.99,$74.88,3.5,54
19/11/30,B01700RNIO,$39.95,$20.73,4.0,96
19/11/30,B005YXXS4I,nan,nan,4.1,97
19/11/30,B00Q397RJY,nan,nan,3.3,31
19/11/30,B005LKCDR2,nan,nan,4.8,8
19/11/30,B001447Z8Q,nan,nan,3.3,28
19/11/30,B06XVDYHQX,$1049.99,nan,3.7,20
19/11/30,B008FH1PJA,$124.99,nan,3.4,1567
19/11/30,B071ZVQVFQ,nan,nan,3.9,705
19/11/30,B001AVRD62,$219.95,$264.47,4.4,1849
19/11/30,B00TVFO08S,nan,nan,3.7,65
19/11/30,B01KUAMCWI,$159.99,$40.90,3.8,396
19/11/30,B01CEAT9ZU,$218.00,$66.43,3.6,33
19/11/30,B01MUG578I,nan,nan,4.3,317
19/11/30,B072MP2CFG,nan,nan,4.3,92
19/11/30,B00IWQ3YPC,nan,nan,4.1,99
19/11/30,B000O3TFWW,$199.95,nan,4.7,365
19/11/30,B00LIL7YVI,$89.75,$29.53,3.0,102
19/11/30,B00170HCOO,$288.99,$116.05,4.2,305
19/11/30,B001BBT7RY,$288.99,$117.12,4.2,305
19/11/30,B00170O1HK,$288.99,$117.12,4.2,305
19/11/30,B0038NMC8O,$59.99,$30.74,4.3,69
19/11/30,B01364B00K,nan,nan,2.6,172
19/11/30,B00F6PRSMW,nan,nan,4.1,396
19/11/30,B01AEW9E46,nan,nan,3.1,65
19/11/30,B00RZYD51A,nan,nan,3.8,130
19/11/30,B0742RMVQ8,nan,nan,3.8,125
19/11/30,B00L2EWRW2,nan,nan,3.7,46
19/11/30,B00PASUGTC,$349.00,nan,4.4,28
19/11/30,B008JJLZ7G,$59.49,$23.20,4.4,4757
19/11/30,B073JHHNJ9,$54.95,$22.07,3.9,2171
